feature,coefficient,type
grid,1.6399931912257084,context
year,0.20475362092111227,context
laps,-0.9828754961766331,context
driver_above_team_avg,-2.0736116166247665,driver
driver_1,-1.83942272206391,driver
driver_3,-1.4517130846475583,driver
driver_4,0.12711057778073376,driver
driver_8,-0.5567763135901296,driver
driver_9,1.7975909134332857,driver
driver_13,-1.944133046211128,driver
driver_16,1.1275706823442475,driver
driver_18,0.2509213539509751,driver
driver_20,-0.9041916429450652,driver
driver_154,-0.27583723737430416,driver
driver_155,0.625235851138586,driver
driver_807,-0.5477151378550175,driver
driver_813,0.05220148048323453,driver
driver_815,-1.0704258205933963,driver
driver_817,-1.036966988461269,driver
driver_818,-0.1925293747721739,driver
driver_820,0.76282669592372,driver
driver_821,1.156479530736849,driver
driver_822,-2.051110568429068,driver
driver_824,1.161032018319994,driver
driver_825,0.1538122660446295,driver
driver_826,0.15106994634638887,driver
driver_828,0.4589681638442721,driver
driver_829,0.7588970887660046,driver
driver_830,-1.8401443484965012,driver
driver_831,0.25263286109815286,driver
driver_832,-1.242367048442636,driver
driver_833,0.2338662710649439,driver
driver_834,0.29553963109605297,driver
driver_835,0.773739816289457,driver
driver_836,0.6989822003890539,driver
driver_837,0.5608515701803565,driver
driver_838,0.38975032136016863,driver
driver_839,-0.902926844772464,driver
driver_840,-0.6672127295460133,driver
driver_841,-0.06318992892736447,driver
driver_842,-0.33591862110415693,driver
driver_843,0.4795803977260412,driver
driver_844,-0.7197619324524475,driver
driver_845,0.8449331205779311,driver
driver_846,-1.2040678088339951,driver
driver_847,0.9181209000046909,driver
driver_848,0.01969614752258146,driver
driver_849,0.7162427639112614,driver
driver_850,0.6370070207229231,driver
driver_851,0.366045787378172,driver
driver_852,0.967959103209917,driver
driver_853,1.5043422710754433,driver
driver_854,1.238757508341301,driver
driver_855,-0.5247863191544359,driver
driver_856,-0.11056674238801927,driver
driver_857,0.0,driver
driver_858,0.0,driver
driver_859,0.0,driver
driver_860,0.0,driver
driver_861,0.0,driver
driver_862,0.0,driver
constructor_1,-0.5809636766005354,constructor
constructor_3,1.3009246638471916,constructor
constructor_4,0.029266937024922727,constructor
constructor_5,0.48634725426401276,constructor
constructor_6,-3.123315327891602,constructor
constructor_9,-3.1623756376984344,constructor
constructor_10,-0.4035627331374104,constructor
constructor_15,0.9382871770647512,constructor
constructor_51,1.5286519321784078,constructor
constructor_117,0.427650773724541,constructor
constructor_131,-3.5962419417884943,constructor
constructor_206,1.9238587142437342,constructor
constructor_207,2.0714136392233287,constructor
constructor_208,0.05299684475181864,constructor
constructor_209,2.6401045925108098,constructor
constructor_210,1.5311821711375808,constructor
constructor_211,-0.3650445347518638,constructor
constructor_213,-0.299943383466048,constructor
constructor_214,-1.399237464636017,constructor
constructor_215,0.0,constructor
circuit_1,-0.8778233981907356,circuit
circuit_2,-0.6331792303365981,circuit
circuit_3,-0.03274821691953491,circuit
circuit_4,0.5734314296393193,circuit
circuit_5,0.6863002040559718,circuit
circuit_6,1.2852490295043433,circuit
circuit_7,0.9166710889010545,circuit
circuit_9,-0.7084475746529237,circuit
circuit_10,0.22839461976674025,circuit
circuit_11,1.1421417927638868,circuit
circuit_13,-1.59838318805823,circuit
circuit_14,-0.45328652293638216,circuit
circuit_15,-0.32085794076261176,circuit
circuit_17,0.39052519667665353,circuit
circuit_18,1.250597314892857,circuit
circuit_20,-1.0745969510965105,circuit
circuit_21,0.0006958742869919836,circuit
circuit_22,-0.36596709216901263,circuit
circuit_24,0.048408057351706384,circuit
circuit_32,1.1351619135229474,circuit
circuit_34,0.05216412471658132,circuit
circuit_39,1.391006030521875,circuit
circuit_69,-0.6745563341187719,circuit
circuit_70,0.9214804519771661,circuit
circuit_71,-0.31085197531319814,circuit
circuit_73,-1.5300454424636978,circuit
circuit_75,1.1300787781487127,circuit
circuit_76,-1.30120497015422,circuit
circuit_77,-1.0440005482978043,circuit
circuit_78,-0.11715834145980439,circuit
circuit_79,-0.10919817979672401,circuit
circuit_80,0.0,circuit
